1.jpg|||Giraffe im Bus
2.jpg|||Weisser Tiger
3.jpg|||Wasserb&uuml;ffel
4.jpg|||Nashorn
5.jpg|||Straussenweibchen
6.jpg|||Nashornf&uuml;tterung
7.jpg|||Gnus und Antilopen
8.jpg|||He ?
9.jpg|||Ahh Banane
10.jpg|||Nashorn 2
11.jpg|||Baby Nashorn
12.jpg|||Antilopen
